epoch,lr,train_loss,train_psnr,train_ssim,val_loss,val_psnr,val_ssim,epoch_time_s,elapsed_min
72,1.0000000000000006e-10,63.382237672805786,36.61776280403137,0.9337056800723076,64.27503967285156,35.72496032714844,0.9289970099925995,14.361980434507132,17.34565479413917
73,1.0000000000000006e-10,63.446120738983154,36.553879737854004,0.9336384534835815,64.42824172973633,35.57175827026367,0.9235877692699432,14.453830074518919,17.58656749377648
74,1.0000000000000006e-10,63.472686529159546,36.52731251716614,0.9329756945371628,64.30233001708984,35.69766616821289,0.9279183447360992,14.377129174768925,17.82625326247265
75,1.0000000000000006e-10,63.43614101409912,36.56385898590088,0.9343272782862186,64.28761100769043,35.71238899230957,0.9283634126186371,14.125705230981112,18.06169764958322
76,1.0000000000000006e-10,63.47568345069885,36.52431654930115,0.9341666847467422,64.3138656616211,35.686134338378906,0.9288057088851929,14.336503449827433,18.30065758942316
77,1.0000000000000006e-10,63.485081911087036,36.514917850494385,0.9338714964687824,64.6031379699707,35.396860122680664,0.9226113259792328,14.856751274317503,18.548288662793734
78,1.0000000000000006e-10,63.486419677734375,36.513580322265625,0.9332142658531666,64.39498138427734,35.60502052307129,0.9273080229759216,14.343410763889551,18.78736164867878
79,1.0000000000000006e-10,63.49525189399719,36.50474834442139,0.9332960955798626,64.40966033935547,35.59033966064453,0.9287532567977905,14.126314178109169,19.02281617342184
80,1.0000000000000006e-10,63.47670912742615,36.52329087257385,0.9334367774426937,64.44830513000488,35.55169486999512,0.9286895096302032,14.052884988486767,19.257047398885092
81,1.0000000000000006e-11,63.566949129104614,36.43305015563965,0.9319625049829483,64.2565803527832,35.7434196472168,0.9290815591812134,14.526812218129635,19.499178093671798
82,1.0000000000000006e-11,63.55224299430847,36.44775605201721,0.9332660399377346,64.32729911804199,35.67270278930664,0.929262787103653,14.482920709997416,19.74057849831879
83,1.0000000000000006e-11,63.4105327129364,36.58946704864502,0.9337937980890274,64.44050598144531,35.55949592590332,0.9282592236995697,14.485768098384142,19.982024426820377
84,1.0000000000000006e-11,63.502033710479736,36.497965812683105,0.933389600366354,64.43278503417969,35.56721496582031,0.9271679520606995,14.43092293292284,20.222555178341768
85,1.0000000000000006e-11,63.49758458137512,36.50241541862488,0.933950200676918,64.50460815429688,35.49538993835449,0.9246318638324738,14.406180497258902,20.46267300272981
86,1.0000000000000006e-11,63.515084743499756,36.484915256500244,0.9338627681136131,64.24317169189453,35.7568302154541,0.9281875491142273,14.465898852795362,20.70378698091954
87,1.0000000000000006e-11,63.4930419921875,36.50695848464966,0.9333648309111595,64.4861068725586,35.513893127441406,0.9264119267463684,14.665453810244799,20.948228327805797
88,1.0000000000000006e-11,63.515477895736694,36.484522104263306,0.9338971860706806,64.5042839050293,35.4957160949707,0.9295861423015594,14.278007425367832,21.18621065579355
89,1.0000000000000006e-11,63.45655369758606,36.5434467792511,0.9336572624742985,64.33746719360352,35.66253471374512,0.9283841252326965,14.596261091530323,21.429497112644217
90,1.0000000000000006e-11,63.49376058578491,36.50623941421509,0.9332491792738438,64.4154052734375,35.5845947265625,0.92845219373703,14.472231678664684,21.670716618622343
91,1.0000000000000006e-12,63.525779724121094,36.474220514297485,0.9332199059426785,64.26583480834961,35.73416328430176,0.928647518157959,14.858406703919172,21.918371944067378
92,1.0000000000000006e-12,63.53596305847168,36.46403646469116,0.9329244047403336,64.44620895385742,35.55379104614258,0.9265792667865753,14.502193491905928,22.160090128766992
93,1.0000000000000006e-12,63.50142431259155,36.498575925827026,0.9332014098763466,64.47735977172852,35.522640228271484,0.9249923229217529,14.468889355659485,22.401253088377416
94,1.0000000000000006e-12,63.537458419799805,36.462541341781616,0.9330208674073219,64.30595970153809,35.69404220581055,0.9278717637062073,14.52352111786604,22.643328284720578
95,1.0000000000000006e-12,63.501545906066895,36.498454332351685,0.9335252307355404,64.34427833557129,35.65571975708008,0.9263814091682434,14.653410010039806,22.887566993385555
96,1.0000000000000006e-12,63.528501749038696,36.47149872779846,0.9337985441088676,64.46072387695312,35.539276123046875,0.926365464925766,14.36349230632186,23.12697343658656
97,1.0000000000000006e-12,63.49159359931946,36.50840663909912,0.9332582056522369,64.16006851196289,35.83993148803711,0.9297243654727936,14.306028809398413,23.365422215561072
98,1.0000000000000006e-12,63.42905592918396,36.5709445476532,0.9345197528600693,64.39809608459473,35.60190391540527,0.927744060754776,14.445308901369572,23.60619378735622
99,1.0000000000000006e-12,63.548524618148804,36.45147514343262,0.9329377673566341,64.34745788574219,35.65254211425781,0.93070188164711,14.305680241435766,23.84463669260343
100,1.0000000000000006e-12,63.49146771430969,36.50853252410889,0.9332625903189182,64.22324752807617,35.776750564575195,0.9285154342651367,14.204271297901869,24.08138983504226
